Base Map Object
X FLOAT (null)
Y FLOAT (null)
Z FLOAT (null)
Pitch FLOAT (null)
Yaw FLOAT (null)
Roll FLOAT (null)
ScaleX FLOAT (null)
ScaleY FLOAT (null)
ScaleZ FLOAT (null)
Unknown STRING (null)
Unknown INT (null)
Model STRING (null)
DisplayModel COMMENT 
ArrowBoardLR_tex COMMENT mapobj/arrowboard.bmt
ArrowBoardUp_tex COMMENT mapobj/arrowboard.bmt
monte_chair COMMENT mapobj/monte_chair_model.bmd
DokanGate COMMENT mapobj/efdokangate.bmd
BiaDoor_tex COMMENT mapobj/bianco.bmt
MapObjPachinkoNail COMMENT mapobj/pachinkokugi.bmd
